y y1 y2 y3 y4
0.9056 1.0 0.992 0.9155 0.9925 
0.9065 0.9965 0.9785 0.934 0.978
0.930 0.9995 0.993 0.9415 0.9875
0.711 0.993 0.9205 0.8235 0.907
0.7605 0.996  0.942 0.842 0.9195
0.896 1.0 0.9765 0.9215 0.9825
0.883 0.996 0.9775 0.916 0.9695
0.9045 0.9925 0.9835 0.9165 0.981
0.9125 0.9985 0.987 0.931 0.9835
0.9225 0.999 0.991 0.9345 0.989
0.0 0.1155 0.0975 0.096 0.0975
0.8795 0.9965 0.9755 0.909 0.975
0.868 0.9965 0.9765 0.903 0.966
0.0025 0.7895 0.2395 0.186 0.188
0.0 0.113 0.0995 0.0965 0.105
0.9915 0.9995 0.9975 0.9985 0.996
0.0 0.124 0.1105 0.0905 0.104
0.9795 0.9995 0.9925 0.9885 0.9955
